9.00, 78.00
24.70, 78.00
182.00, 83.00
248.20, 89.00
8.80, 89.00
44.10, 88.00
98.20, 90.00
12.70, 90.00
9.90, 90.00
120.30, 90.00
33.20, 86.00
16.30, 82.00
11.00, 79.00
193.00, 81.00
9.10, 81.00
25.20, 75.00
187.70, 81.00
254.60, 87.00
9.00, 83.00
43.80, 84.00
101.70, 81.00
12.80, 80.00
9.90, 78.00
115.80, 81.00
36.10, 75.00
17.00, 75.00
264.50, 81.00
197.40, 86.00
8.50, 80.00
24.90, 80.00
14.00, 78.00
10.30, 77.00
8.50, 73.00
39.20, 74.00
17.90, 69.00
11.80, 69.00
9.40, 68.00
9.10, 63.00
24.30, 57.00
203.90, 63.00
242.80, 68.00
8.10, 66.00
31.30, 66.00
16.40, 66.00
10.90, 63.00
9.10, 63.00
56.00, 64.00
21.60, 64.00
13.00, 59.00
9.50, 59.00
123.50, 62.00
56.60, 58.00
189.20, 56.00
10.40, 56.00
8.50, 55.00
45.40, 53.00
19.50, 54.00
11.90, 54.00
9.10, 51.00
124.20, 53.00
239.80, 60.00
175.90, 57.00
12.80, 52.00
21.10, 52.00
227.40, 58.00
240.00, 64.00
8.20, 64.00
34.10, 65.00
16.80, 64.00
271.00, 72.00
9.10, 72.00
81.90, 74.00
111.60, 77.00
13.70, 76.00
13.40, 71.00
13.70, 64.00
14.10, 64.00
245.40, 71.00
223.10, 76.00
196.60, 82.00
175.70, 87.00
10.20, 85.00
165.50, 89.00
10.80, 89.00
19.70, 90.00
12.00, 86.00
229.80, 91.00
7.80, 86.00
32.20, 87.00
134.20, 90.00
251.20, 96.00
8.60, 96.00
75.60, 98.00
56.00, 99.00
13.80, 96.00
249.90, 96.00
156.80, 96.00
10.40, 96.00
19.20, 96.00
207.30, 95.00
9.10, 88.00
125.40, 92.00
32.00, 92.00
129.80, 95.00
11.00, 87.00
200.50, 93.00
7.60, 91.00
54.10, 89.00
13.80, 89.00
247.30, 96.00
8.10, 96.00
49.10, 97.00
19.60, 90.00
215.00, 90.00
9.10, 85.00
116.70, 83.00
21.70, 83.00
129.80, 82.00
10.90, 82.00
210.40, 88.00
7.10, 88.00
25.90, 82.00
170.80, 86.00
252.10, 93.00
8.20, 89.00
48.50, 83.00
85.80, 86.00
226.70, 90.00
9.30, 88.00
129.70, 92.00
31.60, 86.00
15.70, 82.00
10.10, 82.00
8.10, 81.00
9.40, 76.00
20.90, 76.00
10.60, 73.00
11.60, 72.00
30.00, 69.00
16.60, 69.00
9.30, 64.00
16.30, 64.00
24.70, 63.00
137.50, 67.00
233.00, 66.00
240.70, 73.00
12.50, 72.00
101.60, 74.00
17.00, 69.00
23.40, 69.00
142.60, 70.00
244.40, 76.00
12.60, 73.00
12.50, 73.00
81.50, 69.00
209.80, 75.00
12.60, 75.00
11.60, 70.00
43.90, 64.00
161.90, 68.00
13.10, 67.00
11.80, 65.00
19.40, 59.00
116.80, 62.00
14.00, 59.00
12.30, 59.00
12.00, 59.00
73.50, 60.00
199.70, 66.00
12.70, 66.00
101.40, 68.00
50.00, 69.00
170.10, 74.00
13.50, 73.00
11.70, 73.00
22.60, 74.00
123.20, 77.00
