4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 0.00
4.00, 130.00, 70.00
8.00, 130.00, 73.66
9.00, 130.00, 77.29
11.00, 130.00, 77.29
12.00, 130.00, 70.00
13.00, 130.00, 73.51
13.00, 130.00, 77.02
13.00, 130.00, 80.53
13.00, 130.00, 84.04
14.00, 130.00, 87.52
20.00, 130.00, 90.82
22.00, 130.00, 94.06
23.00, 130.00, 97.27
23.00, 130.00, 100.48
24.00, 130.00, 103.66
30.00, 130.00, 106.66
30.00, 130.00, 109.66
31.00, 130.00, 112.63
31.00, 130.00, 115.60
32.00, 130.00, 118.54
38.00, 130.00, 121.30
39.00, 130.00, 124.03
40.00, 130.00, 126.73
45.00, 130.00, 129.28
48.00, 130.00, 131.74
49.00, 130.00, 134.17
51.00, 130.00, 136.54
57.00, 130.00, 138.73
57.00, 130.00, 140.92
58.00, 130.00, 143.08
63.00, 130.00, 145.09
65.00, 130.00, 147.04
65.00, 130.00, 148.99
70.00, 130.00, 150.79
74.00, 130.00, 152.47
74.00, 130.00, 154.15
73.00, 130.00, 155.86
76.00, 130.00, 157.48
75.00, 130.00, 159.13
75.00, 130.00, 160.78
79.00, 130.00, 162.31
82.00, 130.00, 163.75
87.00, 130.00, 165.04
88.00, 130.00, 166.30
88.00, 130.00, 167.56
86.00, 130.00, 168.88
87.00, 130.00, 170.17
87.00, 130.00, 171.46
91.00, 130.00, 172.63
94.00, 130.00, 173.71
88.00, 130.00, 174.97
90.00, 130.00, 176.17
93.00, 130.00, 177.28
96.00, 130.00, 178.30
95.00, 130.00, 179.35
93.00, 130.00, 180.46
96.00, 130.00, 181.48
96.00, 130.00, 182.50
94.00, 130.00, 183.58
94.00, 130.00, 184.66
95.00, 130.00, 184.66
93.00, 130.00, 70.00
88.00, 130.00, 71.26
88.00, 130.00, 72.52
87.00, 130.00, 73.81
86.00, 130.00, 75.13
84.00, 130.00, 76.51
84.00, 130.00, 77.89
86.00, 130.00, 79.21
83.00, 130.00, 79.21
86.00, 130.00, 70.00
85.00, 130.00, 71.35
84.00, 130.00, 72.73
83.00, 130.00, 74.14
82.00, 130.00, 75.58
79.00, 130.00, 77.11
76.00, 130.00, 78.73
71.00, 130.00, 80.50
70.00, 130.00, 82.30
75.00, 130.00, 83.95
74.00, 130.00, 85.63
71.00, 130.00, 87.40
71.00, 130.00, 89.17
68.00, 130.00, 91.03
69.00, 130.00, 92.86
73.00, 130.00, 94.57
73.00, 130.00, 96.28
75.00, 130.00, 97.93
75.00, 130.00, 99.58
75.00, 130.00, 101.23
76.00, 130.00, 102.85
75.00, 130.00, 104.50
74.00, 130.00, 106.18
75.00, 130.00, 107.83
75.00, 130.00, 109.48
74.00, 130.00, 111.16
75.00, 130.00, 112.81
80.00, 130.00, 114.31
81.00, 130.00, 115.78
81.00, 130.00, 117.25
83.00, 130.00, 118.66
85.00, 130.00, 120.01
85.00, 130.00, 121.36
82.00, 130.00, 122.80
86.00, 130.00, 124.12
84.00, 130.00, 125.50
83.00, 130.00, 126.91
85.00, 130.00, 128.26
87.00, 130.00, 129.55
92.00, 130.00, 130.69
92.00, 130.00, 131.83
92.00, 130.00, 132.97
97.00, 130.00, 133.96
99.00, 130.00, 134.89
94.00, 130.00, 135.97
94.00, 130.00, 137.05
99.00, 130.00, 137.98
99.00, 130.00, 138.91
100.00, 130.00, 139.81
95.00, 130.00, 140.86
94.00, 130.00, 141.94
97.00, 130.00, 142.93
91.00, 130.00, 144.10
90.00, 130.00, 145.30
95.00, 130.00, 146.35
92.00, 130.00, 147.49
90.00, 130.00, 148.69
95.00, 130.00, 149.74
96.00, 130.00, 150.76
91.00, 130.00, 151.93
94.00, 130.00, 153.01
98.00, 130.00, 153.97
93.00, 130.00, 155.08
96.00, 130.00, 156.10
96.00, 130.00, 157.12
94.00, 130.00, 158.20
95.00, 130.00, 159.25
96.00, 130.00, 160.27
94.00, 130.00, 161.35
93.00, 130.00, 162.46
96.00, 130.00, 163.48
96.00, 130.00, 164.50
94.00, 130.00, 165.58
96.00, 130.00, 166.60
91.00, 130.00, 167.77
92.00, 130.00, 168.91
96.00, 130.00, 169.93
93.00, 130.00, 171.04
91.00, 130.00, 172.21
95.00, 130.00, 173.26
96.00, 130.00, 174.28
91.00, 130.00, 175.45
94.00, 130.00, 176.53
96.00, 130.00, 177.55
97.00, 130.00, 178.54
95.00, 130.00, 179.59
94.00, 130.00, 180.67
96.00, 130.00, 181.69
99.00, 130.00, 182.62
95.00, 130.00, 183.67
94.00, 130.00, 184.75
98.00, 130.00, 185.71
97.00, 130.00, 186.70
93.00, 130.00, 187.81
96.00, 130.00, 188.83
98.00, 130.00, 189.79
95.00, 130.00, 190.84
97.00, 130.00, 191.83
99.00, 130.00, 192.76
105.00, 130.00, 193.51
110.00, 130.00, 194.11
113.00, 130.00, 194.62
113.00, 130.00, 195.13
118.00, 130.00, 195.49
122.00, 130.00, 195.73
126.00, 130.00, 195.85
129.00, 130.00, 195.88
130.00, 130.00, 195.88
135.00, 130.00, 195.73
142.00, 130.00, 195.37
145.00, 130.00, 194.92
144.00, 130.00, 194.50
149.00, 130.00, 193.93
156.00, 130.00, 193.15
158.00, 130.00, 192.31
156.00, 130.00, 191.53
163.00, 130.00, 190.54
167.00, 130.00, 189.43
170.00, 130.00, 188.23
170.00, 130.00, 187.03
174.00, 130.00, 185.71
